x,y,z,qx,qy,qz,qw,speed
89620.6,43179.8,0,0,0,0.728822,0.684703,8.33333
89620.5,43182.8,0,0,0,0.563098,0.82639,8.33333
89621.5,43185.5,0,0,0,0.328683,0.94444,8.33333
89623.9,43187.4,0,0,0,0.129383,0.991595,8.33333
89626.7,43188.2,0,0,0,-0.0738567,0.997269,8.33333
89629.7,43187.7,0,0,0,-0.160747,0.986996,8.33333
89632.1,43186.9,0,0,0,-0.370044,0.929014,8.33333
89634.6,43184.5,0,0,0,-0.285239,0.958457,8.33333
89637.2,43182.8,0,0,0,-0.163097,0.98661,8.33333
89640,43181.9,0,0,0,-0.0102367,0.999948,8.33333
89642.9,43181.8,0,0,0,0.0930897,0.995658,8.33333
89645.8,43182.4,0,0,0,0.178075,0.984017,8.33333
89648.6,43183.4,0,0,0,0.241111,0.970498,8.33333
89651.3,43184.8,0,0,0,0.233975,0.972243,8.33333
89654,43186.2,0,0,0,0.197508,0.980301,8.33333
89656.7,43187.3,0,0,0,0.056364,0.99841,8.33333
89659.6,43187.7,0,0,0,-0.145469,0.989363,8.33333
89662.5,43186.8,0,0,0,-0.365708,0.93073,8.33333
89664.6,43184.8,0,0,0,-0.587808,0.809001,8.33333
89665.5,43182,0,0,0,-0.774753,0.632264,8.33333
89664.9,43179,0,0,0,-0.916698,0.39958,8.33333
89662.9,43176.9,0,0,0,-0.984371,0.176105,8.33333
89660.2,43175.9,0,0,0,-0.997178,0.0750719,8.33333
89657.2,43175.4,0,0,0,-0.997254,0.0740582,8.33333
89654.3,43175,0,0,0,-0.999403,0.0345591,8.33333
89651.4,43174.8,0,0,0,-0.98346,0.181125,8.33333
89648.4,43173.7,0,0,0,-0.947133,0.320841,8.33333
89646.1,43171.9,0,0,0,-0.835952,0.548803,8.33333
89645.2,43169.7,0,0,0,-0.642321,0.766436,8.33333
89645.7,43166.6,0,0,0,-0.476306,0.87928,8.33333
89647.2,43164.3,0,0,0,-0.402601,0.915376,8.33333
89649,43162.3,0,0,0,-0.212259,0.977213,8.33333
89651.8,43161.1,0,0,0,-0.195738,0.980656,8.33333
89654.5,43159.9,0,0,0,-0.0527849,0.998606,8.33333
89657.5,43159.6,0,0,0,0.141186,0.989983,8.33333
89660.4,43160.5,0,0,0,0.351021,0.936368,8.33333
89662.4,43162.3,0,0,0,0.53549,0.844542,8.33333
89663.7,43165,0,0,0,0.547483,0.836817,8.33333
89665.3,43168.6,0,0,0,0.298168,0.954514,8.33333
89667.8,43170.3,0,0,0,0.070889,0.997484,8.33333
89670.5,43170.7,0,0,0,-0.216619,0.976256,8.33333
89673.1,43169.5,0,0,0,-0.323006,0.946397,8.33333
89675.5,43167.6,0,0,0,-0.424476,0.905439,8.33333
89677.4,43165.3,0,0,0,-0.509104,0.860705,8.33333
89678.9,43162.7,0,0,0,-0.601335,0.798997,8.33333
89679.7,43159.8,0,0,0,-0.706174,0.708039,8.33333
89679.7,43156.9,0,0,0,-0.808032,0.589138,8.33333
89678.8,43154.1,0,0,0,-0.885312,0.464997,8.33333
89677.1,43151.6,0,0,0,-0.940498,0.339798,8.33333
89674.8,43149.7,0,0,0,-0.97392,0.226892,8.33333
89672.1,43148.4,0,0,0,-0.989185,0.146673,8.33333
89669.3,43147.5,0,0,0,-0.997181,0.07503,8.33333
89666.4,43147.1,0,0,0,-0.996143,0.0877477,8.33333
89663.3,43146.5,0,0,0,-0.997417,0.0718331,8.33333
89659.5,43146,0,0,0,-0.905589,0.424155,8.33333
89657.6,43143.7,0,0,0,-0.768803,0.639486,8.33333
89657,43140.8,0,0,0,-0.795063,0.606527,8.33333
89656.2,43137.9,0,0,0,-0.721723,0.692182,8.33333
89656.1,43134.7,0,0,0,-0.667034,0.745027,8.33333
89656.4,43132.1,0,0,0,-0.717595,0.69646,8.33333
89656.3,43129.3,0,0,0,-0.771432,0.636312,8.33333
89655.6,43125.4,0,0,0,-0.883,0.469374,8.33333
89654.2,43123.3,0,0,0,-0.91014,0.414302,8.33333
89652.2,43121.1,0,0,0,-0.992615,0.121308,8.33333
89649.7,43120.5,0,0,0,-0.999904,0.0138621,8.33333
89646.9,43120.4,0,0,0,0.999677,0.0254281,8.33333
89643.8,43120.5,0,0,0,0.988138,0.153571,8.33333
89640.9,43121.5,0,0,0,0.992268,0.124116,8.33333
89638.3,43122.1,0,0,0,0.949757,0.312989,8.33333
89635.9,43123.9,0,0,0,0.923158,0.38442,8.33333
89633.8,43126,0,0,0,0.905278,0.42482,8.33333
89631.9,43128.3,0,0,0,0.894858,0.446352,8.33333
89630.1,43130.7,0,0,0,0.890874,0.454251,8.33333
